Time,gen
2/3/2019 0:00,45.03072989
2/4/2019 0:00,29.25531289
2/5/2019 0:00,25.02795989
2/6/2019 0:00,46.94718289
2/7/2019 0:00,39.74169889
2/8/2019 0:00,22.74132389
2/9/2019 0:00,42.34734989
2/10/2019 0:00,33.34614089
2/11/2019 0:00,40.82494589
2/12/2019 0:00,38.81722489
2/13/2019 0:00,41.01827889
2/14/2019 0:00,37.35842889
2/15/2019 0:00,53.12419389
2/16/2019 0:00,27.11699289
2/17/2019 0:00,36.60493889
2/18/2019 0:00,36.47773289
2/19/2019 0:00,53.54420089
2/20/2019 0:00,40.67650289
2/21/2019 0:00,53.34155989
2/22/2019 0:00,43.17804289
2/23/2019 0:00,58.53229989
2/24/2019 0:00,60.79186489
2/25/2019 0:00,61.13041089
2/26/2019 0:00,61.86160489
2/27/2019 0:00,62.14414789
2/28/2019 0:00,36.17951689
3/1/2019 0:00,37.96555689
3/2/2019 0:00,45.05115589
3/3/2019 0:00,28.08253889
3/4/2019 0:00,45.82087189
3/5/2019 0:00,66.75911389
3/6/2019 0:00,42.70579189
3/7/2019 0:00,70.73360189
3/8/2019 0:00,46.14747289
3/9/2019 0:00,63.40318389
3/10/2019 0:00,67.61659589
3/11/2019 0:00,78.86612689
3/12/2019 0:00,31.41087989
3/13/2019 0:00,69.99925258
3/14/2019 0:00,92.90154328
3/15/2019 0:00,68.69780028
3/16/2019 0:00,77.97711528
3/17/2019 0:00,115.1135643
3/18/2019 0:00,93.57592528
3/19/2019 0:00,82.16085028
3/20/2019 0:00,79.51589028
3/21/2019 0:00,80.93876528
3/22/2019 0:00,72.77657128
3/23/2019 0:00,105.7262203
3/24/2019 0:00,125.3705053
3/25/2019 0:00,126.8007753
3/26/2019 0:00,124.1368103
3/27/2019 0:00,124.6312883
3/28/2019 0:00,126.2544433
3/29/2019 0:00,122.1420483
3/30/2019 0:00,105.9321543
3/31/2019 0:00,74.6180541
4/1/2019 0:00,130.5473553
4/2/2019 0:00,97.46813828
4/3/2019 0:00,112.7300533
4/4/2019 0:00,95.42582328
4/5/2019 0:00,86.69453428
4/6/2019 0:00,114.8348123
4/7/2019 0:00,118.1218463
4/8/2019 0:00,79.64960428
4/9/2019 0:00,64.99920928
4/10/2019 0:00,106.7529983
4/11/2019 0:00,145.3390853
4/12/2019 0:00,139.6364623
4/13/2019 0:00,154.1772453
4/14/2019 0:00,122.0023783
4/15/2019 0:00,136.7392963
4/16/2019 0:00,85.38783928
4/17/2019 0:00,128.6549723
4/18/2019 0:00,131.3094133
4/19/2019 0:00,138.3029323
4/20/2019 0:00,146.5080953
4/21/2019 0:00,147.5284063
4/22/2019 0:00,141.4001953
4/23/2019 0:00,119.7623123
4/24/2019 0:00,91.01517928
4/25/2019 0:00,124.3906503
4/26/2019 0:00,100.8812373
4/27/2019 0:00,130.7149913
4/28/2019 0:00,115.3417993
4/29/2019 0:00,137.8655383
4/30/2019 0:00,155.3734943
5/1/2019 0:00,119.8422723
5/2/2019 0:00,120.1759063
5/3/2019 0:00,115.9987973
5/4/2019 0:00,156.2187023
5/5/2019 0:00,152.0599343
5/6/2019 0:00,133.4053073
5/7/2019 0:00,136.8823333
5/8/2019 0:00,103.6611993
5/9/2019 0:00,92.55970828
5/10/2019 0:00,158.6448643
5/11/2019 0:00,139.4164393
5/12/2019 0:00,168.0714143
5/13/2019 0:00,171.9742933
5/14/2019 0:00,166.1406193
5/15/2019 0:00,176.7845813
5/16/2019 0:00,158.6016273
5/17/2019 0:00,79.40405428
5/18/2019 0:00,111.1584803
5/19/2019 0:00,124.7267493
5/20/2019 0:00,158.4753443
5/21/2019 0:00,171.9813713
5/22/2019 0:00,164.8235533
5/23/2019 0:00,162.5641823
5/24/2019 0:00,167.2466463
5/25/2019 0:00,160.5506153
5/26/2019 0:00,92.64999028
5/27/2019 0:00,136.8654233
5/28/2019 0:00,129.2272923
5/29/2019 0:00,79.67271828
5/30/2019 0:00,140.4335663
5/31/2019 0:00,105.3449813
6/1/2019 0:00,161.6483493
