Unix timestamp,STD Date Time,Quantity
"1,672,782,300",1/3/2023 21:45,0
"1,672,783,200",1/3/2023 22:00,0
"1,672,784,100",1/3/2023 22:15,0
"1,672,785,000",1/3/2023 22:30,0
"1,672,785,900",1/3/2023 22:45,0
"1,672,786,800",1/3/2023 23:00,0
"1,672,787,700",1/3/2023 23:15,0
"1,672,788,600",1/3/2023 23:30,0
"1,672,789,500",1/3/2023 23:45,0
"1,672,790,400",1/4/2023 0:00,0
"1,672,791,300",1/4/2023 0:15,0
"1,672,792,200",1/4/2023 0:30,0
"1,672,793,100",1/4/2023 0:45,0
"1,672,794,000",1/4/2023 1:00,0
"1,672,794,900",1/4/2023 1:15,0
"1,672,795,800",1/4/2023 1:30,0
"1,672,796,700",1/4/2023 1:45,0
"1,672,797,600",1/4/2023 2:00,0
"1,672,798,500",1/4/2023 2:15,0
"1,672,799,400",1/4/2023 2:30,0
"1,672,800,300",1/4/2023 2:45,0
"1,672,801,200",1/4/2023 3:00,0
"1,672,802,100",1/4/2023 3:15,0
"1,672,803,000",1/4/2023 3:30,0
"1,672,803,900",1/4/2023 3:45,0
"1,672,804,800",1/4/2023 4:00,0
"1,672,805,700",1/4/2023 4:15,0
"1,672,806,600",1/4/2023 4:30,0
"1,672,807,500",1/4/2023 4:45,0
"1,672,808,400",1/4/2023 5:00,0
"1,672,809,300",1/4/2023 5:15,0
"1,672,810,200",1/4/2023 5:30,0
"1,672,811,100",1/4/2023 5:45,0
"1,672,812,000",1/4/2023 6:00,0.14
"1,672,812,900",1/4/2023 6:15,0.14
"1,672,813,800",1/4/2023 6:30,0.14
"1,672,814,700",1/4/2023 6:45,0.14
"1,672,815,600",1/4/2023 7:00,0.14
"1,672,816,500",1/4/2023 7:15,0.14
"1,672,817,400",1/4/2023 7:30,0.14
"1,672,818,300",1/4/2023 7:45,0.14
"1,672,819,200",1/4/2023 8:00,0.14
"1,672,820,100",1/4/2023 8:15,0.14
"1,672,821,000",1/4/2023 8:30,0.14
"1,672,821,900",1/4/2023 8:45,0.14
"1,672,822,800",1/4/2023 9:00,0.14
"1,672,823,700",1/4/2023 9:15,0.14
"1,672,824,600",1/4/2023 9:30,0.14
"1,672,825,500",1/4/2023 9:45,0.14
"1,672,826,400",1/4/2023 10:00,0.14
"1,672,827,300",1/4/2023 10:15,0.14
"1,672,828,200",1/4/2023 10:30,0.14
"1,672,829,100",1/4/2023 10:45,0.14
"1,672,830,000",1/4/2023 11:00,0.14
"1,672,830,900",1/4/2023 11:15,0.14
"1,672,831,800",1/4/2023 11:30,0.14
"1,672,832,700",1/4/2023 11:45,0.14
"1,672,833,600",1/4/2023 12:00,0.14
"1,672,834,500",1/4/2023 12:15,0.14
"1,672,835,400",1/4/2023 12:30,0.14
"1,672,836,300",1/4/2023 12:45,0.14
"1,672,837,200",1/4/2023 13:00,0.14
"1,672,838,100",1/4/2023 13:15,0.14
"1,672,839,000",1/4/2023 13:30,0.14
"1,672,839,900",1/4/2023 13:45,0.14
"1,672,840,800",1/4/2023 14:00,0.14
"1,672,841,700",1/4/2023 14:15,0.14
"1,672,842,600",1/4/2023 14:30,0.14
"1,672,843,500",1/4/2023 14:45,0.14
"1,672,844,400",1/4/2023 15:00,0.14
"1,672,845,300",1/4/2023 15:15,0.14
"1,672,846,200",1/4/2023 15:30,0.14
"1,672,847,100",1/4/2023 15:45,0.14
"1,672,848,000",1/4/2023 16:00,0.14
"1,672,848,900",1/4/2023 16:15,0.14
"1,672,849,800",1/4/2023 16:30,0.14
"1,672,850,700",1/4/2023 16:45,0.14
"1,672,851,600",1/4/2023 17:00,0.14
"1,672,852,500",1/4/2023 17:15,0.14
"1,672,853,400",1/4/2023 17:30,0.14
"1,672,854,300",1/4/2023 17:45,0.14
"1,672,855,200",1/4/2023 18:00,0
"1,672,856,100",1/4/2023 18:15,0
"1,672,857,000",1/4/2023 18:30,0
"1,672,857,900",1/4/2023 18:45,0
"1,672,858,800",1/4/2023 19:00,0
"1,672,859,700",1/4/2023 19:15,0
"1,672,860,600",1/4/2023 19:30,0
"1,672,861,500",1/4/2023 19:45,0
"1,672,862,400",1/4/2023 20:00,0
"1,672,863,300",1/4/2023 20:15,0
"1,672,864,200",1/4/2023 20:30,0
"1,672,865,100",1/4/2023 20:45,0
"1,672,866,000",1/4/2023 21:00,0
"1,672,866,900",1/4/2023 21:15,0
"1,672,867,800",1/4/2023 21:30,0
"1,672,868,700",1/4/2023 21:45,0
"1,672,869,600",1/4/2023 22:00,0
"1,672,870,500",1/4/2023 22:15,0
"1,672,871,400",1/4/2023 22:30,0
"1,672,872,300",1/4/2023 22:45,0
"1,672,873,200",1/4/2023 23:00,0
"1,672,874,100",1/4/2023 23:15,0
"1,672,875,000",1/4/2023 23:30,0
"1,672,875,900",1/4/2023 23:45,0
"1,672,876,800",1/5/2023 0:00,0
"1,672,877,700",1/5/2023 0:15,0
"1,672,878,600",1/5/2023 0:30,0
"1,672,879,500",1/5/2023 0:45,0
"1,672,880,400",1/5/2023 1:00,0
"1,672,881,300",1/5/2023 1:15,0
"1,672,882,200",1/5/2023 1:30,0
"1,672,883,100",1/5/2023 1:45,0
"1,672,884,000",1/5/2023 2:00,0
"1,672,884,900",1/5/2023 2:15,0
"1,672,885,800",1/5/2023 2:30,0
"1,672,886,700",1/5/2023 2:45,0
"1,672,887,600",1/5/2023 3:00,0
"1,672,888,500",1/5/2023 3:15,0
"1,672,889,400",1/5/2023 3:30,0
"1,672,890,300",1/5/2023 3:45,0
"1,672,891,200",1/5/2023 4:00,0
"1,672,892,100",1/5/2023 4:15,0
"1,672,893,000",1/5/2023 4:30,0
"1,672,893,900",1/5/2023 4:45,0
"1,672,894,800",1/5/2023 5:00,0
"1,672,895,700",1/5/2023 5:15,0
"1,672,896,600",1/5/2023 5:30,0
"1,672,897,500",1/5/2023 5:45,0
"1,672,898,400",1/5/2023 6:00,0.14
"1,672,899,300",1/5/2023 6:15,0.14
"1,672,900,200",1/5/2023 6:30,0.14
"1,672,901,100",1/5/2023 6:45,0.14
"1,672,902,000",1/5/2023 7:00,0.14
"1,672,902,900",1/5/2023 7:15,0.14
"1,672,903,800",1/5/2023 7:30,0.14
"1,672,904,700",1/5/2023 7:45,0.14
"1,672,905,600",1/5/2023 8:00,0.14
"1,672,906,500",1/5/2023 8:15,0.14
"1,672,907,400",1/5/2023 8:30,0.14
